,Category,Name,City,State,StateCode,Latitude,Longitude
108,library,winona public library,Winona,Minnesota,MN,44.0509,-91.6689

109,library,de soto public library,De soto,Missouri,MO,38.1410,-90.5609

110,library,joplin public library,Joplin,Missouri,MO,37.0759,-94.5006

111,library,mid-continent public library,Kansas city,Missouri,MO,39.1239,-94.5541

112,library,adair county public library,Kirksville,Missouri,MO,40.1986,-92.5753

113,library,little dixie regional libraries,Moberly,Missouri,MO,39.4190,-92.4365

114,library,bozeman public library,Bozeman,Montana,MT,45.6828,-111.0549

115,library,bitterroot public library,Hamilton,Montana,MT,46.2527,-114.1598

116,library,charlotte mecklenburg library,Charlotte,North carolina,NC,35.2079,-80.8304

117,library,charlotte mecklenburg library,Charlotte,North carolina,NC,35.2079,-80.8304

118,library,charlotte mecklenburg library,Charlotte,North carolina,NC,35.2079,-80.8304

119,library,charlotte mecklenburg library,Charlotte,North carolina,NC,35.2079,-80.8304

120,library,new library branch,Cleveland,North carolina,NC,35.7327,-80.6815

121,library,public library of johnston county and smithfield,Smithfield,North carolina,NC,35.5131,-78.3495

122,library,iredell county public library,Statesville,North carolina,NC,35.7838,-80.8711

123,library,haywood county public library,Waynesville,North carolina,NC,35.4853,-82.9996

124,library,new hanover county library,Wilmington,North carolina,NC,34.2101,-77.8860

125,library,new hanover county library,Wilmington,North carolina,NC,34.2101,-77.8860

126,library,new hanover county library,Wilmington,North carolina,NC,34.2101,-77.8860

127,library,fargo public library,Fargo,North dakota,ND,46.8653,-96.8292

128,library,lebanon public liibrary,Lebanon,New hampshire,NH,43.6353,-72.2531

129,library,wiggins memorial library,Stratham,New hampshire,NH,43.0229,-70.9164

130,library,gloucester county library system,Gibbstown,New jersey,NJ,39.8233,-75.2782

131,library,montville public library,Montville,New jersey,NJ,40.9148,-74.3838

132,library,gloucester county library system,Mullica hill,New jersey,NJ,39.7266,-75.2191

133,library,ocean city library,Ocean city,New jersey,NJ,39.2682,-74.6019

134,library,ocean city library,Ocean city,New jersey,NJ,39.2682,-74.6019

135,library,trenton free public library,Trenton,New jersey,NJ,40.2236,-74.7641

136,library,taos new mexico library,Taos,New mexico,NM,36.3871,-105.5803

137,library,henderson libraries paseo verde library,Henderson,Nevada,NV,36.0146,-115.0362

138,library,las vegas-clark county library district,Las vegas,Nevada,NV,36.2333,-115.2654

139,library,pioneer library system,Canandaigua,New york,NY,42.8885,-77.2805

140,library,elwood public library,East northport,New york,NY,40.8792,-73.3232

141,library,glen cove public library,Glen cove,New york,NY,40.8709,-73.6287

142,library,floyd memorial  library,Greenport,New york,NY,41.1031,-72.3669

143,library,manlius library,Manlius,New york,NY,43.0017,-75.9819

144,library,new rochelle public library,New rochelle,New york,NY,40.9305,-73.7836

145,library,sachem public library,Patchogue,New york,NY,40.7621,-73.0185

146,library,schenectady county public library,Schenectady,New york,NY,42.8025,-73.9276

147,library,wood county district public library,Bowling green,Ohio,OH,41.3773,-83.6501

148,library,cleveland public library,Cleveland,Ohio,OH,41.4767,-81.6805

149,library,cleveland public library,Cleveland,Ohio,OH,41.4767,-81.6805

150,library,cleveland public library,Cleveland,Ohio,OH,41.4767,-81.6805

151,library,dayton metro library,Dayton,Ohio,OH,39.7797,-84.1998

152,library,cuyahoga county public library,Parma,Ohio,OH,41.3843,-81.7286

153,library,cuyahoga county public library,Parma,Ohio,OH,41.3843,-81.7286

154,library,paulding county carnegie library,Paulding,Ohio,OH,41.1424,-84.5824

155,library,city of mississauga community services library,Mississauga,,ON,,

156,library,deschutes public library,Bend,Oregon,OR,44.0562,-121.3087

157,library,tillamook co. library,Tillamook,Oregon,OR,45.4562,-123.8331

158,library,altoona public library,Altoona,Pennsylvania,PA,40.5082,-78.4007

159,library,township of lower merion,Ardmore,Pennsylvania,PA,40.0032,-75.2947

160,library,collingdale public library,Collingdale,Pennsylvania,PA,39.9151,-75.2776

161,library,darby library,Darby,Pennsylvania,PA,39.9210,-75.2611

162,library,delaware county library system,Media,Pennsylvania,PA,39.9198,-75.3888

163,library,monroeville public,Monroeville,Pennsylvania,PA,40.4262,-79.7605

164,library,monroeville public library,Monroeville,Pennsylvania,PA,40.4262,-79.7605

165,library,people's library,New kensington,Pennsylvania,PA,40.5711,-79.7521

166,library,albright memorial library,Scranton,Pennsylvania,PA,41.4044,-75.6649

167,library,warminster library,Warminster,Pennsylvania,PA,40.2068,-75.0998

168,library,anderson county library system,Anderson,South carolina,SC,34.5212,-82.6478

169,library,marion county library system,Marion,South carolina,SC,34.1787,-79.3966

170,library,city of pierre rawlins municipal library,Pierre,South dakota,SD,44.3748,-100.3205

171,library,maury county public library,Columbia,Tennessee,TN,35.6236,-87.0487

172,library,maury county public library,Columbia,Tennessee,TN,35.6236,-87.0487

173,library,lawrence,Lawrenceburg,Tennessee,TN,35.2497,-87.3325

174,library,hollywood library,Memphis,Tennessee,TN,35.1046,-89.9773

175,library,white house library,White house,Tennessee,TN,36.4649,-86.6667

176,library,allen public library,Allen,Texas,TX,33.1088,-96.6735

177,library,burleson public library,Burleson,Texas,TX,32.5170,-97.3343

178,library,charlotte public library,Charlotte,Texas,TX,28.8593,-98.7006

179,library,nesbitt memorial library,Columbus,Texas,TX,29.7055,-96.5563

180,library,duncanville public library,Duncanville,Texas,TX,32.6460,-96.9127

181,library,harris county,Houston,Texas,TX,29.7869,-95.3905

182,library,houston public library,Houston,Texas,TX,29.7869,-95.3905

183,library,johnson city library,Johnson city,Texas,TX,30.2743,-98.4064

184,library,lubbock public library,Lubbock,Texas,TX,33.5642,-101.8871

185,library,ralls public library,Ralls,Texas,TX,33.6788,-101.3845

186,library,uintah county library,Vernal,Utah,UT,40.4517,-109.5379

187,library,arlington public.,Arlington,Virginia,VA,38.8786,-77.1011

188,library,botetourt county virginia library,Eagle rock,Virginia,VA,37.6407,-79.8012

189,library,central rappahannock regional library,Fredericksburg,Virginia,VA,38.2992,-77.4872

190,library,central rappahannock regional library,Fredericksburg,Virginia,VA,38.2992,-77.4872

191,library,halifax public libraries,Halifax,Virginia,VA,36.7612,-78.9279

192,library,orange county public library,Orange,Virginia,VA,38.2486,-78.1127

193,library,portsmouth public library,Portsmouth,Virginia,VA,36.8468,-76.3540

194,library,scottsville library,Scottsville,Virginia,VA,37.8063,-78.4919

195,library,scottsville library,Scottsville,Virginia,VA,37.8063,-78.4919

196,library,whatcom county library system,Bellingham,Washington,WA,48.7543,-122.4687

197,library,bellingham public library,Bellingham,Washington,WA,48.7543,-122.4687

198,library,everett public library,Everett,Washington,WA,47.9524,-122.1670

199,library,san juan island library,Friday harbor,Washington,WA,48.5324,-123.0655

200,library,seattle public library,Seattle,Washington,WA,47.6211,-122.3244

201,library,seattle public library,Seattle,Washington,WA,47.6211,-122.3244

202,library,spokane county library district,Spokane valley,Washington,WA,47.6625,-117.2346

203,library,pierce county library,Tacoma,Washington,WA,47.2431,-122.4531

204,library,pierce county library,Tacoma,Washington,WA,47.2431,-122.4531

205,library,pierce county library,Tacoma,Washington,WA,47.2431,-122.4531

206,library,fort vancouver regional libraries,Vancouver,Washington,WA,45.6367,-122.5970

207,library,fort vancouver regional libraries,Vancouver,Washington,WA,45.6367,-122.5970

208,library,vancouver community library,Vancouver,Washington,WA,45.6367,-122.5970

209,library,milwaukee public library,Milwaukee,Wisconsin,WI,43.0642,-87.9673

210,library,kanawha county public library,Charleston,West virginia,WV,38.3484,-81.6323

211,library,natrona county library,Casper,Wyoming,WY,42.8420,-106.3207

212,library,laramie county library,Cheyenne,Wyoming,WY,41.1405,-104.7927

213,library,laramie   ,Laramie,Wyoming,WY,41.3099,-105.6085

214,cmp,womanthink,Birmingham,Alabama,AL,33.5277,-86.7987

215,cmp,knights of columbus #7904,Mesa,Arizona,AZ,33.4017,-111.7181

216,cmp,phx community,Phoenix,Arizona,AZ,33.5722,-112.0891

217,cmp,the sunshine club,Avenal,California,CA,36.0312,-120.1160

218,cmp,asambleas de dios fuente de rogel,Bell gardens,California,CA,33.9663,-118.1550

219,cmp,disney volunteers,Concord,California,CA,37.9722,-122.0016

220,cmp,help mates for hope,Gardena,California,CA,33.8944,-118.3073

221,cmp,esms,Los angeles,California,CA,34.1139,-118.4068

222,cmp,kipp academy of opportunity,Los angeles,California,CA,34.1139,-118.4068

223,cmp,scoe sacramento county office of education,Modesto,California,CA,37.6374,-121.0028

224,cmp,madison elementary school,North highlands,California,CA,38.6713,-121.3721

225,cmp,santa maria kiwanis,Santa maria,California,CA,34.9333,-120.4432

226,cmp,marks engineers,Sunnyvale,California,CA,37.3836,-122.0257

227,cmp,mountain family center,Granby,Colorado,CO,40.0657,-105.9195

228,cmp,"elks lodge #492, ouray, co",Ouray,Colorado,CO,38.0276,-107.6734

229,cmp,fair haven school,New haven,Connecticut,CT,41.3112,-72.9246

230,cmp,dover capital city rotary club,Dover,Delaware,DE,39.1610,-75.5203

231,cmp,jefe society,Newark,Delaware,DE,39.6776,-75.7573

232,cmp,new directions early head start,Newark,Delaware,DE,39.6776,-75.7573

233,cmp,operation b.r.e.a.t.h.e.,Ocean view,Delaware,DE,38.5357,-75.0991

234,cmp,boigedacha literary initiative,Sapele,Delaware,DE,,

235,cmp,warm the city project,Wilmington,Delaware,DE,39.7415,-75.5413

236,cmp,the city of victory,Wilmington,Delaware,DE,39.7415,-75.5413

237,cmp,imanurse,Wilmington,Delaware,DE,39.7415,-75.5413

238,cmp,glorious church,Wilmington,Delaware,DE,39.7415,-75.5413

239,cmp,new light church,Wilmington,Delaware,DE,39.7415,-75.5413

240,cmp,"community vision, inc.",Washington,District of columbia,DC,38.9047,-77.0163

241,cmp,church,Washington,District of columbia,DC,38.9047,-77.0163

242,cmp,raised to reach back,Washington,District of columbia,DC,38.9047,-77.0163

243,cmp,eagle academy public charter school,Washington,District of columbia,DC,38.9047,-77.0163

244,cmp,georgetown- smp,Washington,District of columbia,DC,38.9047,-77.0163

245,cmp,covenant homeless family shelter inc.,Florida city,Florida,FL,25.4418,-80.4685

246,cmp,gather at your table ministries,Panama city,Florida,FL,30.1995,-85.6003

247,cmp,cozy kidz,Bonaire,Georgia,GA,32.5438,-83.5960

248,cmp,futures program-pioneer resa,Gillsville,Georgia,GA,34.3095,-83.6381

249,cmp,urban outreach project corp,Jonesboro,Georgia,GA,33.5212,-84.3541

250,cmp,"dare to eempower, inc",Jonesboro,Georgia,GA,33.5212,-84.3541

251,cmp,jacob's well youth project,Menlo,Georgia,GA,34.4835,-85.4776

252,cmp,church street elementary,Riverdale,Georgia,GA,33.5639,-84.4103

253,cmp,"hisway,llc",Boise,Idaho,ID,43.6007,-116.2312

254,cmp,meat & potatoes catering,Fruitland,Idaho,ID,44.0196,-116.9222

255,cmp,west suburban network 4 success nfp,Bellwood,Illinois,IL,41.8829,-87.8762

256,cmp,alexander family,Bolingbrook,Illinois,IL,41.6903,-88.1019

257,cmp,dupage township,Bolingbrook,Illinois,IL,41.6903,-88.1019

258,cmp,community consolidated school district 9,Carol stream,Illinois,IL,41.9182,-88.1308

259,cmp,paul revere elementary school,Chicago,Illinois,IL,41.8373,-87.6862

260,cmp,norwegian american hospital,Chicago,Illinois,IL,41.8373,-87.6862

261,cmp,brighton park neighborhood council,Chicago,Illinois,IL,41.8373,-87.6862

262,cmp,spirit of truth mb church,Chicago,Illinois,IL,41.8373,-87.6862

263,cmp,the boulevard,Chicago,Illinois,IL,41.8373,-87.6862

264,cmp,sunrise baptist church,Chicago,Illinois,IL,41.8373,-87.6862

265,cmp,above and beyond family recovery center,Chicago,Illinois,IL,41.8373,-87.6862

266,cmp,indiana avenue pentecostal church of god,Chicago,Illinois,IL,41.8373,-87.6862

267,cmp,daughter of destiny outreach inc.,Chicago,Illinois,IL,41.8373,-87.6862

268,cmp,tea rose educational foundation,Chicago,Illinois,IL,41.8373,-87.6862

269,cmp,the giving,Chicago,Illinois,IL,41.8373,-87.6862

270,cmp,charity chapter 313,Chicago,Illinois,IL,41.8373,-87.6862

271,cmp,sunrise b.church,Chicago,Illinois,IL,41.8373,-87.6862

272,cmp,townsend music ministries,Chicago,Illinois,IL,41.8373,-87.6862

273,cmp,karing and sharing hearts outreach,Chicago,Illinois,IL,41.8373,-87.6862

274,cmp,first bethel church,Chicago,Illinois,IL,41.8373,-87.6862

275,cmp,families helping families chicagoland,Gurnee,Illinois,IL,42.3708,-87.9392

276,cmp,from ordinary to extraordinary,Matteson,Illinois,IL,41.5095,-87.7468

277,cmp,"meet, eat and defeat @jexal's",Mchenry,Illinois,IL,42.3388,-88.2931

278,cmp,real church,Murphysboro,Illinois,IL,37.7679,-89.3321

279,cmp,unit district no. 5,Normal,Illinois,IL,40.5220,-88.9877

280,cmp,st. basil of ostrog serbian orthodox church,Oak brook,Illinois,IL,41.8372,-87.9512

281,cmp,rotary club of oak park-river forest,Oak park,Illinois,IL,41.8872,-87.7899

282,cmp,coj family life center church,Olympia fields,Illinois,IL,41.5170,-87.6924

283,cmp,"oregon, il rotary foundation",Oregon,Illinois,IL,42.0132,-89.3356

284,cmp,virginia lake elementary,Palatine,Illinois,IL,42.1181,-88.0430

285,cmp,family enrichment program,Riverdale,Illinois,IL,41.6440,-87.6366

286,cmp,ymca childrens learning center,Rockford,Illinois,IL,42.2598,-89.0641

287,cmp,south holland sd 151,South holland,Illinois,IL,41.5977,-87.6022

288,cmp,south holland school district 151,South holland,Illinois,IL,41.5977,-87.6022

289,cmp,usw local 975,Tilton,Illinois,IL,40.0941,-87.6398

290,cmp,nazarene church,Hillsboro,Indiana,IN,40.1089,-87.1577

291,cmp,indiana math and science academy west,Indianapolis,Indiana,IN,39.7771,-86.1458

292,cmp,madison public library,Madison,Indiana,IN,38.7580,-85.3971

293,cmp,christian resource center,Rockport,Indiana,IN,37.8901,-87.0538

294,cmp,holy family catholic schools,Dubuque,Iowa,IA,42.5007,-90.7067

295,cmp,"elks lodge #112 sioux city, ia",Sioux city,Iowa,IA,42.4959,-96.3901

296,cmp,upper des moines opportunity,Spencer,Iowa,IA,43.1468,-95.1534

297,cmp,old capitol kiwanis,Swisher,Iowa,IA,41.8443,-91.6939

298,cmp,#fc55,Leawood,Kansas,KS,38.9075,-94.6258

299,cmp,1:1,Manhattan,Kansas,KS,39.1885,-96.6047

300,cmp,rotary club of ashland ky,Ashland,Kentucky,KY,38.4593,-82.6449

301,cmp,heritage french church,Florence,Kentucky,KY,38.9900,-84.6471

302,cmp,bargins for you,Whitesburg,Kentucky,KY,37.1183,-82.8230

303,cmp,lsu agcenter,Bastrop,Louisiana,LA,32.7749,-91.9058

304,cmp,keep a kid warm,Baton rouge,Louisiana,LA,30.4419,-91.1310

305,cmp,finding escapes,Gretna,Louisiana,LA,29.9100,-90.0515

306,cmp,rotary club of natchitoches,Natchitoches,Louisiana,LA,31.7317,-93.0979

307,cmp,success @ thurgood marshall school,New orleans,Louisiana,LA,30.0687,-89.9288

308,cmp,dr. k movement inc.,Saint rose,Louisiana,LA,29.9649,-90.3088

309,cmp,valley of hope center for kidz,Shreveport,Louisiana,LA,32.4659,-93.7959

310,cmp,community outreach ministry,Winnfield,Louisiana,LA,31.9240,-92.6425

311,cmp,hometown health center,Newport,Maine,ME,44.8371,-69.2853

312,cmp,blackhawk network,Portland,Maine,ME,43.6773,-70.2715

313,cmp,"bright futures ahead, llc",Baltimore,Maryland,MD,39.3051,-76.6144

314,cmp,spirit of christ engaged ministries,Baltimore,Maryland,MD,39.3051,-76.6144

315,cmp,augsburg village,Baltimore,Maryland,MD,39.3051,-76.6144

316,cmp,wayman memorial ame church,Baltimore,Maryland,MD,39.3051,-76.6144

317,cmp,ags programs,Baltimore,Maryland,MD,39.3051,-76.6144

318,cmp,child first authority,Baltimore,Maryland,MD,39.3051,-76.6144

319,cmp,peanuts mission no hearts go unbroken organization,Baltimore,Maryland,MD,39.3051,-76.6144

320,cmp,waldon woods elementary school outreach program,Clinton,Maryland,MD,38.7499,-76.9063

321,cmp,edgewood/brookland family support collaborative,Clinton,Maryland,MD,38.7499,-76.9063

322,cmp,southwest academy,Gwynn oak,Maryland,MD," ""39.3359"""," ""76.6978"""

323,cmp,"elks lodge #2620 calvert/prince frederick, md",Huntingtown,Maryland,MD,38.6117,-76.6187

324,cmp,south end community health center,Boston,Massachusetts,MA,42.3188,-71.0846

325,cmp,fenway community center,Boston,Massachusetts,MA,42.3188,-71.0846

326,cmp,no pressure on us youth foundation,Dorchester,Massachusetts,MA,42.3016,-71.0676

327,cmp,workinc family support center,Dorchester,Massachusetts,MA,42.3016,-71.0676

328,cmp,boston public schools,East boston,Massachusetts,MA,42.3702,-71.0389

329,cmp,holiday dreams foundation,Holliston,Massachusetts,MA,42.2001,-71.4245

330,cmp,"project just because, inc.",Hopkinton,Massachusetts,MA,42.2287,-71.5226

331,cmp,leicester food pantry,Leicester,Massachusetts,MA,42.2459,-71.9087

332,cmp,whittier street health center,Roxbury,Massachusetts,MA,42.3152,-71.0914

333,cmp,vivo en shelter,Springfield,Massachusetts,MA,42.1155,-72.5395

334,cmp,uaw local 2200,Canton,Michigan,MI,42.3086,-83.4821

335,cmp,chosen generations community center,Detroit,Michigan,MI,42.3834,-83.1024

336,cmp,frontier international academy,Detroit,Michigan,MI,42.3834,-83.1024

337,cmp,mary mcleod bethune elementary-middle school,Detroit,Michigan,MI,42.3834,-83.1024

338,cmp,1981,Detroit,Michigan,MI,42.3834,-83.1024

339,cmp,farmington hills church of god,Farmington hills,Michigan,MI,42.4860,-83.3771

340,cmp,fenton center of hope,Fenton,Michigan,MI,42.7994,-83.7144

341,cmp,"carletta cares, llc",Rochester hills,Michigan,MI,42.6645,-83.1563

342,cmp,conner creek academy east,Roseville,Michigan,MI,42.5074,-82.9369

343,cmp,new beginning ministry outreach,Saginaw,Michigan,MI,43.4199,-83.9501

344,cmp,saginaw covenant academy,Saginaw,Michigan,MI,43.4199,-83.9501

345,cmp,sault ste marie rotary club,Sault ste. marie,Michigan,MI,46.4977,-84.3476

346,cmp,kingdom builders & kingdom daughters,Southfield,Michigan,MI,42.4765,-83.2605

347,cmp,"falswar intl charity, inc.",Brooklyn park,Minnesota,MN,45.1112,-93.3505

348,cmp,rashad vaughn foundation,Minneapolis,Minnesota,MN,44.9635,-93.2678

349,cmp,river bend education center,Minneapolis,Minnesota,MN,44.9635,-93.2678

350,cmp,shakopee mdewakanton sioux community,Shakopee,Minnesota,MN,44.7744,-93.4764

351,cmp,the journey school,St. paul,Minnesota,MN,44.9477,-93.1040

352,cmp,"elks lodge #179 stillwater, mn",Stillwater,Minnesota,MN,45.0573,-92.8313

353,cmp,stillwater public library,Stillwater,Minnesota,MN,45.0573,-92.8313

354,cmp,greenwood adhd parent support group,Greenwood,Mississippi,MS,33.5126,-90.1993

355,cmp,greater mount calvary,Jackson,Mississippi,MS,32.3163,-90.2124

356,cmp,topgolf chesterfield,Chesterfield,Missouri,MO,38.6588,-90.5803

357,cmp,the allstar sparks association,Florissant,Missouri,MO,38.7996,-90.3269

358,cmp,lale youth organization,Florissant,Missouri,MO,38.7996,-90.3269

359,cmp,help for incarcerated parents with children hip-c,Florissant,Missouri,MO,38.7996,-90.3269

360,cmp,"elks lodge #2597 lake taneycomo, mo",Forsyth,Missouri,MO,36.6860,-93.1016

